"time (s)","Channel0","Channel1","Channel2","Channel3","Channel4","Channel5","Channel6","Channel7","Channel8","Channel9","Channel10","Channel11","Channel12","Channel13","Channel14","Channel15","Channel16","Channel17","Channel18","Channel19","Channel20","Channel21","Channel22","Channel23","Channel24","Channel25","Channel26","Channel27","Channel28","Channel29","Channel30","Channel31","Channel32","Channel33","Channel34","Channel35","Channel36","Channel37","Channel38","Channel39","Channel40","Channel41","Channel42","Channel43","Channel44","Channel45","Channel46","Channel47","Channel48","Channel49","Channel50","Channel51","Channel52","Channel53","Channel54","Channel55","Channel56","Channel57","Channel58","Channel59","Channel60","Channel61","Channel62","Channel63","Channel64","Channel65","Channel66","Channel67","Channel68","Channel69","Channel70","Channel71","Channel72","Channel73","Channel74","Channel75","Channel76","Channel77","Channel78","Channel79","Channel80","Channel81","Channel82","Channel83","Channel84","Channel85","Channel86","Channel87","Channel88","Channel89","Channel90","Channel91","Channel92","Channel93","Channel94","Channel95","Channel96","Channel97","Channel98","Channel99","Channel100","Channel101","Channel102","Channel103","Channel104","Channel105","Channel106","Channel107","Channel108","Channel109","Channel110","Channel111","Channel112","Channel113","Channel114","Channel115","Channel116","Channel117","Channel118","Channel119","Channel120","Channel121","Channel122","Channel123","Channel124","Channel125","Channel126","Channel127","Channel128","Channel129","Channel130","Channel131","Channel132","Channel133","Channel134","Channel135","Channel136","Channel137","Channel138","Channel139","Channel140","Channel141","Channel142","Channel143","Channel144","Channel145","Channel146","Channel147","Channel148","Channel149","Channel150","Channel151","Channel152","Channel153","Channel154","Channel155","Channel156","Channel157","Channel158","Channel159","Channel160","Channel161","Channel162","Channel163","Channel164","Channel165","Channel166","Channel167","Channel168","Channel169","Channel170","Channel171","Channel172","Channel173","Channel174","Channel175","Channel176","Channel177","Channel178","Channel179","touched","label"
"0","1479.69","1575.78","1579.09","1555.76","1505.62","1973.0","1538.35","1565.75","1557.79","1546.57","1547.8","1580.02","1586.21","1573.0","1575.17","1626.89","1693.03","1698.37","1684.33","1693.84","1719.0","1756.65","1759.0","1744.01","1749.0","1764.3","1797.52","1810.3","1817.58","1878.78","1479.82","1576.71","1564.41","1537.48","1531.98","1515.23","1525.71","1551.78","1538.27","1531.73","1524.93","1566.52","1570.75","1561.81","1568.12","1618.27","1677.83","1695.0","1680.24","1704.7","1723.0","1756.37","1773.19","1756.0","1767.0","1779.83","1804.0","1822.5","1822.47","1883.71","1468.81","1555.53","1552.11","1534.98","1515.46","1515.21","1507.88","1481.08","1538.22","1501.5","1532.35","1547.3","1567.52","1562.34","1545.38","1626.0","1668.0","1688.33","1684.04","1687.79","1726.66","1752.0","1767.67","1749.8","1757.0","1778.0","1801.0","1819.59","1817.37","1872.31","1473.69","1547.19","1563.32","1542.44","1525.18","1526.76","1514.06","1556.05","1555.98","1516.35","1536.23","1564.96","1579.29","1562.96","1553.0","1636.0","1667.75","1684.46","1669.17","1674.81","1721.0","1736.0","1757.0","1743.08","1742.19","1774.0","1728.47","1810.1","1814.71","1837.18","1479.61","1546.05","1568.92","1548.11","1528.59","1479.06","1518.84","1572.72","1552.58","1527.05","1543.4","1569.62","1587.8","1585.0","1561.16","1632.0","1680.46","1692.54","1676.41","1671.09","1712.43","1742.19","1751.0","1734.0","1725.06","1760.0","1790.0","1800.0","1799.0","1854.0","1471.01","1543.44","1559.15","1538.53","1524.23","1524.54","1511.33","1556.98","1551.96","1521.58","1537.01","1563.32","1587.0","1580.08","1558.28","1627.25","1679.0","1696.85","1678.75","1674.96","1709.28","1744.0","1750.0","1733.64","1732.08","1756.31","1794.94","1798.09","1799.47","1763.29","0","0"
"1680032706.5786955","1481.0","1577.0","1579.0","1556.0","1505.0","1973.0","1538.0","1566.0","1558.0","1547.0","1549.0","1579.0","1587.0","1573.0","1575.0","1626.0","1694.0","1698.0","1684.0","1693.0","1719.0","1756.0","1759.0","1745.0","1749.0","1764.0","1797.0","1810.0","1818.0","1879.0","1481.0","1576.0","1565.0","1538.0","1532.0","1515.0","1527.0","1552.0","1540.0","1531.0","1526.0","1567.0","1571.0","1561.0","1569.0","1619.0","1678.0","1695.0","1681.0","1705.0","1723.0","1756.0","1774.0","1756.0","1767.0","1780.0","1804.0","1823.0","1823.0","1884.0","1470.0","1556.0","1553.0","1533.0","1515.0","1515.0","1508.0","1481.0","1537.0","1502.0","1533.0","1547.0","1568.0","1562.0","1546.0","1626.0","1668.0","1688.0","1685.0","1687.0","1726.0","1752.0","1767.0","1750.0","1757.0","1778.0","1801.0","1819.0","1817.0","1872.0","1475.0","1549.0","1563.0","1542.0","1526.0","1528.0","1513.0","1558.0","1557.0","1515.0","1536.0","1565.0","1580.0","1564.0","1554.0","1636.0","1668.0","1686.0","1669.0","1675.0","1721.0","1736.0","1757.0","1744.0","1743.0","1774.0","1729.0","1811.0","1815.0","1837.0","1480.0","1546.0","1568.0","1548.0","1529.0","1480.0","1519.0","1573.0","1552.0","1528.0","1544.0","1570.0","1587.0","1585.0","1561.0","1632.0","1681.0","1693.0","1676.0","1671.0","1713.0","1743.0","1751.0","1734.0","1725.0","1760.0","1790.0","1800.0","1799.0","1854.0","1472.0","1544.0","1561.0","1536.0","1524.0","1525.0","1511.0","1557.0","1552.0","1521.0","1538.0","1564.0","1587.0","1579.0","1558.0","1628.0","1679.0","1697.0","1679.0","1675.0","1709.0","1744.0","1750.0","1733.0","1732.0","1756.0","1796.0","1798.0","1800.0","1764.0","0","0"
"1680032706.6211505","1481.0","1577.0","1579.0","1556.0","1505.0","1973.0","1538.0","1566.0","1558.0","1547.0","1549.0","1579.0","1587.0","1573.0","1576.0","1626.0","1694.0","1698.0","1684.0","1693.0","1719.0","1756.0","1759.0","1745.0","1749.0","1764.0","1797.0","1810.0","1818.0","1879.0","1481.0","1576.0","1565.0","1538.0","1532.0","1515.0","1527.0","1552.0","1540.0","1531.0","1526.0","1567.0","1571.0","1561.0","1569.0","1619.0","1678.0","1695.0","1681.0","1705.0","1723.0","1756.0","1774.0","1756.0","1767.0","1780.0","1804.0","1823.0","1823.0","1884.0","1470.0","1556.0","1553.0","1533.0","1515.0","1516.0","1508.0","1481.0","1537.0","1502.0","1533.0","1547.0","1568.0","1562.0","1546.0","1626.0","1668.0","1688.0","1685.0","1687.0","1726.0","1752.0","1767.0","1750.0","1757.0","1778.0","1801.0","1819.0","1817.0","1872.0","1475.0","1549.0","1563.0","1542.0","1526.0","1528.0","1513.0","1558.0","1557.0","1515.0","1536.0","1565.0","1580.0","1564.0","1554.0","1636.0","1668.0","1686.0","1669.0","1675.0","1721.0","1736.0","1757.0","1744.0","1743.0","1775.0","1729.0","1811.0","1815.0","1837.0","1480.0","1547.0","1568.0","1548.0","1529.0","1480.0","1519.0","1573.0","1552.0","1528.0","1544.0","1570.0","1587.0","1585.0","1561.0","1632.0","1681.0","1693.0","1676.0","1671.0","1713.0","1743.0","1751.0","1734.0","1725.0","1760.0","1790.0","1800.0","1799.0","1854.0","1472.0","1544.0","1561.0","1536.0","1524.0","1525.0","1511.0","1557.0","1552.0","1521.0","1538.0","1564.0","1587.0","1579.0","1558.0","1628.0","1679.0","1697.0","1679.0","1675.0","1709.0","1744.0","1750.0","1733.0","1732.0","1756.0","1796.0","1798.0","1800.0","1764.0","0","0"
"1680032706.6479568","1481.0","1577.0","1579.0","1556.0","1505.0","1973.0","1538.0","1566.0","1558.0","1547.0","1549.0","1579.0","1587.0","1573.0","1576.0","1626.0","1693.0","1698.0","1684.0","1693.0","1719.0","1756.0","1759.0","1745.0","1749.0","1764.0","1797.0","1810.0","1818.0","1879.0","1481.0","1576.0","1565.0","1538.0","1532.0","1515.0","1527.0","1552.0","1540.0","1531.0","1526.0","1567.0","1571.0","1562.0","1569.0","1619.0","1678.0","1695.0","1681.0","1705.0","1723.0","1756.0","1774.0","1755.0","1767.0","1780.0","1804.0","1823.0","1823.0","1884.0","1470.0","1556.0","1553.0","1533.0","1515.0","1516.0","1508.0","1481.0","1537.0","1502.0","1533.0","1547.0","1568.0","1562.0","1546.0","1626.0","1668.0","1688.0","1685.0","1687.0","1726.0","1752.0","1767.0","1750.0","1757.0","1778.0","1801.0","1819.0","1817.0","1872.0","1475.0","1549.0","1564.0","1542.0","1526.0","1528.0","1513.0","1558.0","1557.0","1515.0","1536.0","1565.0","1580.0","1564.0","1554.0","1636.0","1668.0","1686.0","1669.0","1675.0","1721.0","1736.0","1757.0","1744.0","1743.0","1775.0","1729.0","1811.0","1815.0","1837.0","1479.0","1547.0","1569.0","1548.0","1529.0","1480.0","1519.0","1573.0","1551.0","1528.0","1544.0","1570.0","1587.0","1585.0","1561.0","1632.0","1681.0","1693.0","1676.0","1671.0","1713.0","1743.0","1751.0","1734.0","1725.0","1760.0","1790.0","1800.0","1799.0","1854.0","1472.0","1544.0","1561.0","1536.0","1524.0","1525.0","1511.0","1557.0","1552.0","1521.0","1538.0","1564.0","1587.0","1579.0","1558.0","1628.0","1679.0","1697.0","1679.0","1675.0","1709.0","1744.0","1750.0","1733.0","1732.0","1756.0","1796.0","1798.0","1800.0","1764.0","0","0"
"1680032706.6721869","1481.0","1577.0","1579.0","1556.0","1505.0","1973.0","1538.0","1566.0","1558.0","1547.0","1549.0","1579.0","1587.0","1573.0","1576.0","1626.0","1693.0","1698.0","1684.0","1693.0","1719.0","1756.0","1759.0","1745.0","1749.0","1764.0","1797.0","1810.0","1818.0","1879.0","1481.0","1576.0","1564.0","1538.0","1532.0","1515.0","1527.0","1552.0","1540.0","1531.0","1527.0","1567.0","1571.0","1562.0","1569.0","1619.0","1678.0","1695.0","1681.0","1705.0","1723.0","1756.0","1774.0","1755.0","1767.0","1780.0","1804.0","1823.0","1823.0","1884.0","1470.0","1556.0","1553.0","1533.0","1515.0","1516.0","1508.0","1481.0","1537.0","1502.0","1533.0","1547.0","1568.0","1562.0","1546.0","1626.0","1668.0","1688.0","1685.0","1687.0","1726.0","1752.0","1767.0","1750.0","1757.0","1778.0","1802.0","1819.0","1817.0","1872.0","1475.0","1549.0","1564.0","1542.0","1526.0","1528.0","1513.0","1558.0","1557.0","1515.0","1536.0","1565.0","1580.0","1564.0","1554.0","1636.0","1668.0","1686.0","1669.0","1675.0","1721.0","1736.0","1757.0","1744.0","1743.0","1775.0","1729.0","1811.0","1815.0","1837.0","1479.0","1547.0","1569.0","1548.0","1529.0","1480.0","1519.0","1573.0","1551.0","1528.0","1544.0","1570.0","1587.0","1585.0","1561.0","1632.0","1681.0","1693.0","1676.0","1671.0","1713.0","1743.0","1751.0","1734.0","1725.0","1760.0","1790.0","1800.0","1798.0","1854.0","1472.0","1544.0","1561.0","1536.0","1524.0","1525.0","1511.0","1557.0","1552.0","1521.0","1538.0","1564.0","1587.0","1579.0","1559.0","1628.0","1679.0","1697.0","1679.0","1675.0","1709.0","1744.0","1750.0","1733.0","1732.0","1756.0","1796.0","1798.0","1800.0","1764.0","0","0"
"1680032706.7010484","1481.0","1577.0","1579.0","1556.0","1505.0","1973.0","1538.0","1566.0","1558.0","1547.0","1549.0","1579.0","1587.0","1573.0","1576.0","1626.0","1693.0","1698.0","1684.0","1693.0","1719.0","1756.0","1759.0","1745.0","1749.0","1764.0","1797.0","1810.0","1818.0","1879.0","1481.0","1576.0","1564.0","1538.0","1532.0","1515.0","1527.0","1552.0","1540.0","1531.0","1527.0","1567.0","1571.0","1562.0","1569.0","1619.0","1678.0","1695.0","1681.0","1705.0","1723.0","1756.0","1774.0","1755.0","1767.0","1780.0","1804.0","1823.0","1823.0","1884.0","1470.0","1556.0","1553.0","1534.0","1515.0","1516.0","1508.0","1481.0","1537.0","1502.0","1533.0","1547.0","1568.0","1562.0","1546.0","1626.0","1668.0","1688.0","1685.0","1687.0","1726.0","1752.0","1767.0","1750.0","1757.0","1778.0","1802.0","1819.0","1817.0","1872.0","1475.0","1549.0","1564.0","1543.0","1526.0","1528.0","1513.0","1558.0","1557.0","1515.0","1536.0","1565.0","1580.0","1564.0","1554.0","1636.0","1668.0","1686.0","1669.0","1675.0","1721.0","1736.0","1757.0","1744.0","1743.0","1775.0","1729.0","1811.0","1815.0","1837.0","1479.0","1547.0","1569.0","1548.0","1528.0","1480.0","1519.0","1573.0","1551.0","1528.0","1544.0","1570.0","1586.0","1585.0","1561.0","1632.0","1681.0","1693.0","1676.0","1671.0","1713.0","1743.0","1751.0","1734.0","1725.0","1760.0","1790.0","1800.0","1798.0","1854.0","1472.0","1544.0","1561.0","1536.0","1524.0","1525.0","1511.0","1557.0","1552.0","1521.0","1538.0","1564.0","1587.0","1579.0","1559.0","1628.0","1679.0","1697.0","1679.0","1675.0","1709.0","1744.0","1750.0","1733.0","1732.0","1756.0","1796.0","1798.0","1800.0","1764.0","0","0"
"1680032706.7300334","1481.0","1577.0","1579.0","1556.0","1505.0","1973.0","1538.0","1566.0","1558.0","1547.0","1549.0","1579.0","1587.0","1573.0","1576.0","1626.0","1693.0","1698.0","1684.0","1693.0","1719.0","1756.0","1759.0","1745.0","1749.0","1764.0","1797.0","1810.0","1818.0","1879.0","1481.0","1576.0","1564.0","1538.0","1532.0","1515.0","1527.0","1552.0","1540.0","1531.0","1527.0","1567.0","1571.0","1562.0","1569.0","1619.0","1678.0","1695.0","1681.0","1705.0","1723.0","1756.0","1774.0","1755.0","1767.0","1780.0","1804.0","1823.0","1823.0","1884.0","1470.0","1556.0","1553.0","1534.0","1515.0","1516.0","1508.0","1481.0","1537.0","1502.0","1533.0","1547.0","1568.0","1562.0","1546.0","1626.0","1668.0","1688.0","1685.0","1687.0","1726.0","1752.0","1767.0","1750.0","1757.0","1778.0","1802.0","1819.0","1817.0","1872.0","1475.0","1549.0","1564.0","1543.0","1526.0","1528.0","1513.0","1558.0","1557.0","1515.0","1536.0","1565.0","1580.0","1564.0","1554.0","1636.0","1668.0","1686.0","1669.0","1675.0","1721.0","1736.0","1757.0","1744.0","1743.0","1775.0","1729.0","1811.0","1815.0","1837.0","1479.0","1547.0","1569.0","1548.0","1528.0","1480.0","1518.0","1573.0","1551.0","1528.0","1544.0","1570.0","1586.0","1585.0","1561.0","1632.0","1681.0","1693.0","1676.0","1671.0","1713.0","1743.0","1751.0","1734.0","1725.0","1760.0","1790.0","1800.0","1798.0","1854.0","1472.0","1544.0","1561.0","1536.0","1524.0","1526.0","1511.0","1557.0","1552.0","1521.0","1538.0","1564.0","1587.0","1579.0","1559.0","1628.0","1680.0","1697.0","1679.0","1675.0","1709.0","1744.0","1750.0","1733.0","1732.0","1756.0","1796.0","1798.0","1800.0","1764.0","0","0"
"1680032706.7600384","1481.0","1577.0","1579.0","1556.0","1505.0","1973.0","1539.0","1566.0","1558.0","1547.0","1549.0","1580.0","1587.0","1573.0","1576.0","1626.0","1693.0","1698.0","1684.0","1693.0","1719.0","1756.0","1759.0","1745.0","1749.0","1764.0","1797.0","1810.0","1818.0","1879.0","1481.0","1576.0","1564.0","1538.0","1532.0","1515.0","1527.0","1552.0","1540.0","1531.0","1527.0","1567.0","1571.0","1562.0","1569.0","1619.0","1678.0","1695.0","1681.0","1705.0","1723.0","1756.0","1774.0","1755.0","1767.0","1780.0","1804.0","1823.0","1823.0","1884.0","1469.0","1556.0","1553.0","1535.0","1515.0","1516.0","1508.0","1481.0","1538.0","1502.0","1533.0","1547.0","1568.0","1562.0","1546.0","1626.0","1668.0","1688.0","1685.0","1687.0","1726.0","1752.0","1766.0","1750.0","1757.0","1779.0","1802.0","1819.0","1817.0","1872.0","1475.0","1549.0","1564.0","1543.0","1526.0","1528.0","1513.0","1558.0","1557.0","1515.0","1536.0","1565.0","1580.0","1564.0","1554.0","1636.0","1668.0","1686.0","1669.0","1675.0","1721.0","1736.0","1757.0","1744.0","1743.0","1775.0","1729.0","1811.0","1815.0","1837.0","1479.0","1547.0","1569.0","1548.0","1528.0","1480.0","1518.0","1573.0","1552.0","1527.0","1544.0","1570.0","1586.0","1585.0","1561.0","1632.0","1681.0","1693.0","1676.0","1671.0","1713.0","1743.0","1751.0","1734.0","1725.0","1759.0","1790.0","1800.0","1798.0","1854.0","1472.0","1544.0","1561.0","1536.0","1524.0","1526.0","1511.0","1557.0","1552.0","1521.0","1538.0","1564.0","1587.0","1579.0","1559.0","1628.0","1680.0","1697.0","1679.0","1675.0","1709.0","1744.0","1750.0","1733.0","1732.0","1756.0","1796.0","1798.0","1800.0","1764.0","0","0"
"1680032706.7912977","1481.0","1577.0","1579.0","1556.0","1505.0","1973.0","1539.0","1566.0","1558.0","1547.0","1549.0","1580.0","1587.0","1573.0","1576.0","1626.0","1693.0","1698.0","1684.0","1693.0","1719.0","1756.0","1759.0","1745.0","1749.0","1764.0","1797.0","1810.0","1818.0","1879.0","1481.0","1576.0","1564.0","1538.0","1532.0","1515.0","1527.0","1552.0","1540.0","1531.0","1527.0","1567.0","1571.0","1562.0","1569.0","1619.0","1678.0","1695.0","1681.0","1705.0","1723.0","1756.0","1774.0","1755.0","1767.0","1780.0","1804.0","1823.0","1823.0","1884.0","1469.0","1556.0","1553.0","1535.0","1515.0","1516.0","1508.0","1481.0","1538.0","1502.0","1533.0","1547.0","1568.0","1562.0","1546.0","1626.0","1668.0","1688.0","1685.0","1687.0","1726.0","1752.0","1766.0","1750.0","1757.0","1779.0","1802.0","1819.0","1817.0","1872.0","1475.0","1549.0","1564.0","1543.0","1526.0","1528.0","1514.0","1558.0","1557.0","1515.0","1536.0","1565.0","1580.0","1564.0","1554.0","1636.0","1668.0","1686.0","1669.0","1675.0","1721.0","1736.0","1757.0","1744.0","1743.0","1775.0","1729.0","1811.0","1815.0","1837.0","1479.0","1547.0","1569.0","1548.0","1528.0","1480.0","1518.0","1573.0","1552.0","1527.0","1544.0","1570.0","1586.0","1585.0","1561.0","1632.0","1681.0","1693.0","1676.0","1671.0","1713.0","1743.0","1751.0","1734.0","1725.0","1759.0","1790.0","1800.0","1798.0","1854.0","1472.0","1544.0","1561.0","1536.0","1524.0","1526.0","1511.0","1557.0","1552.0","1521.0","1538.0","1564.0","1587.0","1579.0","1559.0","1628.0","1680.0","1697.0","1679.0","1675.0","1709.0","1744.0","1750.0","1733.0","1732.0","1756.0","1796.0","1798.0","1800.0","1764.0","0","0"
"1680032706.8166654","1481.0","1577.0","1579.0","1556.0","1505.0","1973.0","1538.0","1566.0","1558.0","1547.0","1549.0","1580.0","1587.0","1573.0","1576.0","1626.0","1693.0","1698.0","1684.0","1693.0","1719.0","1756.0","1759.0","1745.0","1749.0","1764.0","1797.0","1810.0","1818.0","1879.0","1481.0","1576.0","1564.0","1538.0","1532.0","1515.0","1527.0","1552.0","1540.0","1531.0","1527.0","1567.0","1571.0","1562.0","1569.0","1619.0","1678.0","1695.0","1681.0","1705.0","1723.0","1756.0","1774.0","1755.0","1767.0","1780.0","1804.0","1823.0","1823.0","1884.0","1469.0","1556.0","1553.0","1535.0","1515.0","1516.0","1508.0","1481.0","1538.0","1502.0","1533.0","1547.0","1568.0","1562.0","1546.0","1626.0","1668.0","1688.0","1685.0","1687.0","1726.0","1752.0","1766.0","1750.0","1757.0","1779.0","1802.0","1819.0","1817.0","1872.0","1475.0","1549.0","1564.0","1543.0","1526.0","1528.0","1514.0","1558.0","1557.0","1515.0","1536.0","1565.0","1580.0","1564.0","1554.0","1636.0","1668.0","1686.0","1669.0","1675.0","1721.0","1736.0","1757.0","1744.0","1743.0","1775.0","1729.0","1811.0","1815.0","1837.0","1479.0","1547.0","1569.0","1548.0","1528.0","1480.0","1518.0","1573.0","1552.0","1527.0","1544.0","1570.0","1586.0","1585.0","1561.0","1632.0","1681.0","1693.0","1676.0","1671.0","1713.0","1743.0","1751.0","1734.0","1725.0","1759.0","1790.0","1800.0","1798.0","1854.0","1472.0","1544.0","1561.0","1536.0","1524.0","1526.0","1511.0","1557.0","1552.0","1521.0","1538.0","1564.0","1587.0","1579.0","1559.0","1628.0","1680.0","1697.0","1679.0","1675.0","1709.0","1744.0","1750.0","1733.0","1732.0","1756.0","1796.0","1798.0","1800.0","1764.0","0","0"
