"time (s)","Channel0","Channel1","Channel2","Channel3","Channel4","Channel5","Channel6","Channel7","Channel8","Channel9","Channel10","Channel11","Channel12","Channel13","Channel14","Channel15","Channel16","Channel17","Channel18","Channel19","Channel20","Channel21","Channel22","Channel23","Channel24","Channel25","Channel26","Channel27","Channel28","Channel29","Channel30","Channel31","Channel32","Channel33","Channel34","Channel35","Channel36","Channel37","Channel38","Channel39","Channel40","Channel41","Channel42","Channel43","Channel44","Channel45","Channel46","Channel47","Channel48","Channel49","Channel50","Channel51","Channel52","Channel53","Channel54","Channel55","Channel56","Channel57","Channel58","Channel59","Channel60","Channel61","Channel62","Channel63","Channel64","Channel65","Channel66","Channel67","Channel68","Channel69","Channel70","Channel71","Channel72","Channel73","Channel74","Channel75","Channel76","Channel77","Channel78","Channel79","Channel80","Channel81","Channel82","Channel83","Channel84","Channel85","Channel86","Channel87","Channel88","Channel89","Channel90","Channel91","Channel92","Channel93","Channel94","Channel95","Channel96","Channel97","Channel98","Channel99","Channel100","Channel101","Channel102","Channel103","Channel104","Channel105","Channel106","Channel107","Channel108","Channel109","Channel110","Channel111","Channel112","Channel113","Channel114","Channel115","Channel116","Channel117","Channel118","Channel119","Channel120","Channel121","Channel122","Channel123","Channel124","Channel125","Channel126","Channel127","Channel128","Channel129","Channel130","Channel131","Channel132","Channel133","Channel134","Channel135","Channel136","Channel137","Channel138","Channel139","Channel140","Channel141","Channel142","Channel143","Channel144","Channel145","Channel146","Channel147","Channel148","Channel149","Channel150","Channel151","Channel152","Channel153","Channel154","Channel155","Channel156","Channel157","Channel158","Channel159","Channel160","Channel161","Channel162","Channel163","Channel164","Channel165","Channel166","Channel167","Channel168","Channel169","Channel170","Channel171","Channel172","Channel173","Channel174","Channel175","Channel176","Channel177","Channel178","Channel179","touched","label"
"0","1485.66","1579.94","1583.64","1561.84","1504.92","1970.72","1533.19","1558.61","1551.75","1540.58","1542.8","1573.98","1581.0","1561.22","1570.57","1620.28","1681.37","1681.14","1668.64","1673.02","1707.53","1743.77","1750.0","1730.21","1732.2","1789.19","1823.81","1841.38","1846.64","1914.78","1486.83","1581.5","1572.27","1542.44","1527.06","1504.53","1523.53","1540.0","1529.7","1526.79","1520.22","1555.06","1564.47","1555.93","1563.16","1607.59","1665.81","1683.78","1667.39","1687.0","1711.81","1744.01","1755.47","1737.22","1748.22","1756.86","1790.41","1813.75","1806.23","1881.81","1470.07","1561.38","1557.61","1537.03","1512.34","1502.17","1494.21","1470.88","1523.4","1504.82","1515.77","1535.46","1555.11","1556.0","1553.63","1616.05","1656.33","1681.0","1670.0","1671.0","1707.04","1733.74","1748.46","1734.72","1742.11","1748.06","1783.05","1794.72","1801.0","1876.0","1475.96","1552.79","1567.92","1546.93","1527.09","1522.66","1498.76","1553.49","1551.96","1511.56","1523.96","1549.8","1567.19","1565.68","1551.22","1612.8","1648.49","1679.58","1670.34","1665.01","1694.0","1716.65","1744.15","1731.0","1732.13","1746.75","1710.73","1796.1","1802.15","1847.71","1483.1","1552.11","1576.55","1555.85","1521.54","1466.64","1512.98","1561.56","1550.11","1519.03","1531.01","1559.1","1573.36","1580.34","1557.76","1618.0","1655.08","1680.0","1669.29","1657.32","1696.42","1714.84","1739.45","1726.92","1712.63","1733.35","1768.06","1783.0","1787.84","1852.27","1471.1","1550.36","1561.21","1540.28","1521.39","1515.59","1507.18","1549.88","1543.0","1510.9","1528.81","1552.21","1574.8","1570.35","1551.83","1617.0","1658.07","1685.49","1670.0","1665.78","1697.71","1719.04","1738.0","1723.1","1709.59","1734.0","1777.98","1781.11","1781.45","1761.94","0","0"
"1678995052.184879","1487.0","1580.0","1585.0","1561.0","1505.0","1970.0","1533.0","1558.0","1553.0","1541.0","1543.0","1575.0","1581.0","1561.0","1571.0","1619.0","1682.0","1682.0","1669.0","1673.0","1708.0","1743.0","1750.0","1730.0","1733.0","1790.0","1824.0","1842.0","1847.0","1915.0","1487.0","1580.0","1573.0","1543.0","1527.0","1503.0","1524.0","1541.0","1532.0","1527.0","1521.0","1556.0","1564.0","1556.0","1563.0","1607.0","1665.0","1685.0","1668.0","1687.0","1712.0","1745.0","1756.0","1737.0","1747.0","1757.0","1790.0","1814.0","1807.0","1882.0","1471.0","1560.0","1557.0","1535.0","1512.0","1503.0","1494.0","1471.0","1523.0","1505.0","1515.0","1537.0","1556.0","1556.0","1552.0","1616.0","1657.0","1681.0","1670.0","1671.0","1707.0","1733.0","1749.0","1734.0","1743.0","1748.0","1784.0","1795.0","1801.0","1876.0","1476.0","1553.0","1568.0","1545.0","1527.0","1523.0","1500.0","1554.0","1552.0","1511.0","1525.0","1550.0","1568.0","1566.0","1552.0","1613.0","1649.0","1679.0","1670.0","1666.0","1694.0","1716.0","1744.0","1731.0","1732.0","1747.0","1711.0","1797.0","1802.0","1848.0","1483.0","1552.0","1577.0","1557.0","1521.0","1467.0","1513.0","1561.0","1550.0","1519.0","1531.0","1559.0","1573.0","1579.0","1557.0","1618.0","1656.0","1680.0","1669.0","1657.0","1697.0","1715.0","1740.0","1727.0","1713.0","1734.0","1769.0","1783.0","1788.0","1852.0","1472.0","1550.0","1562.0","1540.0","1522.0","1517.0","1507.0","1549.0","1544.0","1511.0","1529.0","1552.0","1576.0","1570.0","1552.0","1617.0","1659.0","1686.0","1670.0","1666.0","1698.0","1720.0","1738.0","1723.0","1710.0","1734.0","1778.0","1781.0","1781.0","1762.0","0","0"
"1678995052.2161303","1487.0","1580.0","1585.0","1561.0","1505.0","1971.0","1533.0","1558.0","1553.0","1541.0","1543.0","1575.0","1581.0","1561.0","1571.0","1619.0","1682.0","1682.0","1669.0","1673.0","1708.0","1743.0","1750.0","1730.0","1733.0","1790.0","1824.0","1842.0","1847.0","1915.0","1487.0","1580.0","1573.0","1543.0","1527.0","1503.0","1524.0","1541.0","1532.0","1527.0","1521.0","1556.0","1564.0","1556.0","1563.0","1607.0","1665.0","1685.0","1668.0","1687.0","1712.0","1745.0","1756.0","1737.0","1747.0","1757.0","1790.0","1814.0","1807.0","1882.0","1471.0","1560.0","1557.0","1535.0","1512.0","1503.0","1494.0","1471.0","1523.0","1505.0","1515.0","1537.0","1556.0","1556.0","1552.0","1616.0","1657.0","1681.0","1670.0","1671.0","1707.0","1734.0","1749.0","1734.0","1743.0","1748.0","1784.0","1795.0","1801.0","1876.0","1476.0","1553.0","1567.0","1545.0","1527.0","1523.0","1500.0","1554.0","1552.0","1511.0","1525.0","1550.0","1568.0","1566.0","1552.0","1613.0","1649.0","1679.0","1670.0","1666.0","1694.0","1716.0","1744.0","1731.0","1732.0","1747.0","1711.0","1797.0","1802.0","1848.0","1483.0","1552.0","1577.0","1557.0","1521.0","1467.0","1513.0","1561.0","1550.0","1519.0","1531.0","1559.0","1573.0","1579.0","1557.0","1618.0","1656.0","1680.0","1669.0","1657.0","1697.0","1715.0","1740.0","1727.0","1713.0","1734.0","1769.0","1783.0","1788.0","1852.0","1472.0","1550.0","1562.0","1540.0","1522.0","1517.0","1507.0","1549.0","1544.0","1511.0","1529.0","1552.0","1576.0","1570.0","1552.0","1617.0","1659.0","1686.0","1670.0","1666.0","1698.0","1720.0","1738.0","1723.0","1710.0","1734.0","1778.0","1781.0","1781.0","1762.0","0","0"
"1678995052.247384","1487.0","1580.0","1585.0","1561.0","1505.0","1972.0","1533.0","1558.0","1553.0","1541.0","1543.0","1575.0","1581.0","1561.0","1571.0","1619.0","1682.0","1682.0","1669.0","1673.0","1708.0","1743.0","1750.0","1730.0","1733.0","1790.0","1824.0","1842.0","1847.0","1915.0","1487.0","1580.0","1573.0","1543.0","1527.0","1503.0","1524.0","1541.0","1532.0","1527.0","1521.0","1556.0","1564.0","1556.0","1563.0","1607.0","1665.0","1685.0","1668.0","1687.0","1712.0","1745.0","1756.0","1737.0","1747.0","1757.0","1790.0","1814.0","1807.0","1882.0","1471.0","1560.0","1557.0","1535.0","1512.0","1503.0","1494.0","1471.0","1523.0","1505.0","1515.0","1537.0","1556.0","1556.0","1552.0","1616.0","1657.0","1681.0","1670.0","1671.0","1707.0","1734.0","1749.0","1734.0","1743.0","1748.0","1784.0","1795.0","1801.0","1876.0","1476.0","1553.0","1567.0","1545.0","1527.0","1523.0","1500.0","1554.0","1552.0","1511.0","1525.0","1550.0","1568.0","1566.0","1552.0","1613.0","1649.0","1680.0","1670.0","1666.0","1694.0","1716.0","1744.0","1731.0","1732.0","1747.0","1711.0","1797.0","1802.0","1848.0","1483.0","1552.0","1577.0","1557.0","1521.0","1467.0","1513.0","1561.0","1550.0","1519.0","1531.0","1559.0","1573.0","1579.0","1557.0","1618.0","1656.0","1680.0","1669.0","1657.0","1697.0","1715.0","1740.0","1727.0","1713.0","1734.0","1769.0","1783.0","1788.0","1852.0","1473.0","1550.0","1562.0","1540.0","1522.0","1517.0","1507.0","1549.0","1544.0","1511.0","1529.0","1552.0","1576.0","1570.0","1552.0","1617.0","1659.0","1686.0","1670.0","1666.0","1698.0","1720.0","1738.0","1723.0","1710.0","1734.0","1778.0","1781.0","1781.0","1762.0","0","0"
"1678995052.263004","1487.0","1580.0","1585.0","1561.0","1505.0","1972.0","1533.0","1558.0","1553.0","1541.0","1543.0","1575.0","1581.0","1561.0","1571.0","1619.0","1682.0","1682.0","1669.0","1673.0","1708.0","1743.0","1750.0","1730.0","1733.0","1790.0","1824.0","1842.0","1847.0","1915.0","1487.0","1580.0","1573.0","1543.0","1527.0","1503.0","1524.0","1541.0","1532.0","1527.0","1521.0","1556.0","1564.0","1556.0","1563.0","1607.0","1665.0","1685.0","1668.0","1687.0","1712.0","1745.0","1756.0","1737.0","1747.0","1757.0","1790.0","1814.0","1807.0","1882.0","1471.0","1560.0","1557.0","1535.0","1512.0","1503.0","1494.0","1471.0","1523.0","1505.0","1515.0","1537.0","1556.0","1556.0","1552.0","1616.0","1657.0","1681.0","1670.0","1671.0","1707.0","1734.0","1749.0","1734.0","1743.0","1748.0","1784.0","1795.0","1801.0","1876.0","1476.0","1553.0","1567.0","1545.0","1527.0","1523.0","1500.0","1554.0","1552.0","1511.0","1525.0","1550.0","1568.0","1566.0","1552.0","1613.0","1649.0","1680.0","1670.0","1666.0","1694.0","1716.0","1744.0","1731.0","1732.0","1747.0","1711.0","1797.0","1802.0","1848.0","1483.0","1552.0","1577.0","1556.0","1521.0","1467.0","1513.0","1561.0","1550.0","1519.0","1531.0","1559.0","1573.0","1579.0","1557.0","1618.0","1656.0","1680.0","1669.0","1657.0","1697.0","1715.0","1740.0","1727.0","1713.0","1734.0","1769.0","1783.0","1787.0","1852.0","1473.0","1550.0","1562.0","1540.0","1522.0","1517.0","1507.0","1549.0","1544.0","1511.0","1529.0","1552.0","1576.0","1570.0","1552.0","1617.0","1659.0","1686.0","1670.0","1666.0","1698.0","1720.0","1738.0","1723.0","1710.0","1734.0","1778.0","1781.0","1781.0","1762.0","0","0"
"1678995052.2786345","1487.0","1580.0","1584.0","1561.0","1505.0","1973.0","1532.0","1557.0","1553.0","1541.0","1542.0","1575.0","1581.0","1561.0","1571.0","1619.0","1682.0","1682.0","1669.0","1673.0","1708.0","1743.0","1750.0","1730.0","1733.0","1790.0","1824.0","1842.0","1847.0","1915.0","1487.0","1580.0","1573.0","1542.0","1527.0","1503.0","1524.0","1541.0","1531.0","1527.0","1521.0","1556.0","1564.0","1556.0","1563.0","1607.0","1665.0","1685.0","1668.0","1687.0","1712.0","1745.0","1756.0","1737.0","1747.0","1757.0","1790.0","1814.0","1807.0","1882.0","1471.0","1560.0","1557.0","1535.0","1512.0","1503.0","1494.0","1471.0","1523.0","1505.0","1515.0","1536.0","1556.0","1556.0","1552.0","1615.0","1657.0","1681.0","1670.0","1671.0","1707.0","1733.0","1749.0","1734.0","1743.0","1748.0","1784.0","1795.0","1801.0","1876.0","1476.0","1553.0","1567.0","1545.0","1527.0","1523.0","1500.0","1554.0","1552.0","1511.0","1525.0","1550.0","1568.0","1566.0","1552.0","1613.0","1649.0","1680.0","1670.0","1666.0","1694.0","1716.0","1744.0","1731.0","1732.0","1747.0","1711.0","1797.0","1802.0","1848.0","1483.0","1552.0","1577.0","1556.0","1521.0","1467.0","1513.0","1561.0","1550.0","1519.0","1531.0","1559.0","1573.0","1579.0","1556.0","1618.0","1656.0","1680.0","1669.0","1657.0","1697.0","1715.0","1740.0","1727.0","1712.0","1734.0","1769.0","1783.0","1787.0","1852.0","1473.0","1550.0","1562.0","1540.0","1522.0","1517.0","1507.0","1549.0","1544.0","1511.0","1529.0","1552.0","1576.0","1570.0","1552.0","1617.0","1659.0","1686.0","1670.0","1666.0","1698.0","1720.0","1738.0","1723.0","1710.0","1734.0","1778.0","1781.0","1781.0","1762.0","0","0"
"1678995054.0114737","1487.0","1580.0","1584.0","1561.0","1505.0","1973.0","1532.0","1557.0","1553.0","1541.0","1542.0","1575.0","1582.0","1562.0","1571.0","1619.0","1682.0","1682.0","1669.0","1673.0","1708.0","1743.0","1751.0","1730.0","1733.0","1790.0","1824.0","1842.0","1847.0","1915.0","1487.0","1580.0","1573.0","1542.0","1527.0","1503.0","1524.0","1541.0","1531.0","1527.0","1521.0","1556.0","1564.0","1556.0","1563.0","1607.0","1665.0","1685.0","1668.0","1687.0","1712.0","1745.0","1756.0","1737.0","1747.0","1757.0","1790.0","1814.0","1807.0","1882.0","1471.0","1560.0","1557.0","1535.0","1512.0","1503.0","1494.0","1471.0","1524.0","1505.0","1515.0","1536.0","1556.0","1556.0","1552.0","1615.0","1657.0","1681.0","1670.0","1671.0","1707.0","1733.0","1749.0","1734.0","1743.0","1748.0","1784.0","1795.0","1801.0","1876.0","1476.0","1553.0","1567.0","1545.0","1527.0","1523.0","1500.0","1554.0","1552.0","1511.0","1525.0","1550.0","1568.0","1566.0","1552.0","1613.0","1649.0","1680.0","1670.0","1666.0","1694.0","1716.0","1744.0","1732.0","1732.0","1747.0","1711.0","1797.0","1802.0","1848.0","1483.0","1552.0","1577.0","1556.0","1521.0","1467.0","1513.0","1561.0","1550.0","1519.0","1531.0","1559.0","1573.0","1579.0","1556.0","1618.0","1656.0","1680.0","1669.0","1657.0","1697.0","1715.0","1740.0","1727.0","1712.0","1734.0","1769.0","1783.0","1787.0","1852.0","1473.0","1551.0","1562.0","1540.0","1522.0","1517.0","1507.0","1549.0","1544.0","1511.0","1529.0","1552.0","1576.0","1570.0","1552.0","1617.0","1659.0","1686.0","1670.0","1666.0","1698.0","1720.0","1738.0","1723.0","1710.0","1734.0","1778.0","1781.0","1781.0","1762.0","0","0"
"1678995054.027097","1487.0","1580.0","1584.0","1561.0","1505.0","1973.0","1532.0","1557.0","1553.0","1541.0","1542.0","1575.0","1582.0","1562.0","1571.0","1619.0","1682.0","1682.0","1669.0","1673.0","1708.0","1743.0","1751.0","1730.0","1733.0","1790.0","1824.0","1842.0","1847.0","1915.0","1487.0","1580.0","1573.0","1542.0","1527.0","1503.0","1524.0","1541.0","1531.0","1527.0","1521.0","1556.0","1564.0","1556.0","1563.0","1607.0","1665.0","1685.0","1668.0","1687.0","1712.0","1745.0","1755.0","1737.0","1747.0","1757.0","1790.0","1814.0","1807.0","1882.0","1471.0","1560.0","1557.0","1535.0","1512.0","1503.0","1494.0","1471.0","1524.0","1505.0","1515.0","1536.0","1556.0","1556.0","1552.0","1615.0","1657.0","1681.0","1670.0","1671.0","1707.0","1733.0","1749.0","1734.0","1743.0","1748.0","1784.0","1795.0","1801.0","1876.0","1476.0","1553.0","1567.0","1545.0","1527.0","1523.0","1500.0","1554.0","1552.0","1511.0","1525.0","1550.0","1568.0","1566.0","1552.0","1613.0","1649.0","1680.0","1670.0","1666.0","1694.0","1716.0","1744.0","1732.0","1732.0","1747.0","1711.0","1797.0","1802.0","1848.0","1483.0","1552.0","1576.0","1555.0","1521.0","1467.0","1513.0","1561.0","1550.0","1519.0","1531.0","1559.0","1573.0","1579.0","1556.0","1618.0","1656.0","1680.0","1669.0","1657.0","1697.0","1715.0","1740.0","1727.0","1712.0","1734.0","1769.0","1783.0","1787.0","1852.0","1473.0","1551.0","1562.0","1540.0","1522.0","1517.0","1507.0","1549.0","1544.0","1511.0","1529.0","1552.0","1576.0","1570.0","1552.0","1617.0","1659.0","1686.0","1670.0","1666.0","1698.0","1720.0","1738.0","1723.0","1710.0","1734.0","1778.0","1781.0","1781.0","1762.0","0","0"
"1678995054.0427213","1487.0","1580.0","1584.0","1561.0","1505.0","1973.0","1532.0","1557.0","1553.0","1541.0","1542.0","1575.0","1582.0","1562.0","1571.0","1619.0","1682.0","1682.0","1669.0","1673.0","1708.0","1743.0","1751.0","1730.0","1733.0","1790.0","1824.0","1842.0","1847.0","1915.0","1487.0","1580.0","1573.0","1542.0","1527.0","1503.0","1524.0","1541.0","1531.0","1527.0","1521.0","1556.0","1564.0","1556.0","1563.0","1607.0","1665.0","1685.0","1668.0","1687.0","1712.0","1745.0","1755.0","1737.0","1747.0","1757.0","1790.0","1814.0","1807.0","1882.0","1471.0","1560.0","1557.0","1535.0","1512.0","1503.0","1494.0","1471.0","1524.0","1505.0","1515.0","1536.0","1556.0","1556.0","1552.0","1615.0","1657.0","1681.0","1670.0","1671.0","1707.0","1733.0","1749.0","1734.0","1743.0","1748.0","1784.0","1795.0","1801.0","1876.0","1476.0","1553.0","1567.0","1545.0","1527.0","1523.0","1500.0","1554.0","1552.0","1511.0","1525.0","1550.0","1568.0","1566.0","1552.0","1613.0","1649.0","1680.0","1670.0","1666.0","1694.0","1716.0","1744.0","1732.0","1732.0","1747.0","1711.0","1797.0","1802.0","1848.0","1483.0","1552.0","1576.0","1555.0","1521.0","1467.0","1513.0","1561.0","1550.0","1519.0","1531.0","1559.0","1573.0","1579.0","1556.0","1618.0","1656.0","1680.0","1669.0","1657.0","1697.0","1715.0","1740.0","1727.0","1712.0","1734.0","1769.0","1783.0","1787.0","1852.0","1473.0","1551.0","1562.0","1540.0","1522.0","1517.0","1507.0","1549.0","1544.0","1511.0","1529.0","1552.0","1576.0","1570.0","1552.0","1617.0","1659.0","1686.0","1670.0","1666.0","1698.0","1720.0","1738.0","1723.0","1710.0","1734.0","1778.0","1781.0","1781.0","1762.0","0","0"
"1678995054.0766702","1487.0","1580.0","1584.0","1561.0","1505.0","1973.0","1532.0","1557.0","1553.0","1541.0","1542.0","1575.0","1582.0","1562.0","1571.0","1619.0","1682.0","1682.0","1669.0","1673.0","1708.0","1743.0","1751.0","1730.0","1733.0","1790.0","1824.0","1842.0","1847.0","1915.0","1487.0","1580.0","1572.0","1542.0","1527.0","1503.0","1524.0","1541.0","1531.0","1527.0","1521.0","1556.0","1565.0","1556.0","1563.0","1607.0","1666.0","1685.0","1668.0","1687.0","1712.0","1745.0","1755.0","1737.0","1747.0","1757.0","1790.0","1814.0","1807.0","1882.0","1471.0","1560.0","1557.0","1535.0","1512.0","1503.0","1493.0","1471.0","1524.0","1505.0","1515.0","1536.0","1556.0","1556.0","1552.0","1615.0","1657.0","1681.0","1670.0","1671.0","1707.0","1733.0","1749.0","1734.0","1743.0","1748.0","1784.0","1795.0","1801.0","1876.0","1476.0","1553.0","1567.0","1545.0","1527.0","1523.0","1501.0","1555.0","1552.0","1511.0","1525.0","1550.0","1568.0","1566.0","1552.0","1613.0","1649.0","1680.0","1670.0","1666.0","1694.0","1716.0","1744.0","1732.0","1732.0","1747.0","1711.0","1797.0","1802.0","1848.0","1483.0","1552.0","1576.0","1556.0","1521.0","1467.0","1513.0","1561.0","1550.0","1520.0","1531.0","1559.0","1573.0","1579.0","1556.0","1618.0","1656.0","1680.0","1669.0","1657.0","1697.0","1715.0","1740.0","1727.0","1712.0","1734.0","1769.0","1783.0","1787.0","1852.0","1473.0","1551.0","1562.0","1540.0","1522.0","1517.0","1507.0","1549.0","1544.0","1511.0","1530.0","1552.0","1576.0","1570.0","1552.0","1617.0","1659.0","1686.0","1670.0","1666.0","1698.0","1720.0","1738.0","1723.0","1710.0","1734.0","1778.0","1781.0","1781.0","1762.0","0","0"
