"time (s)","Channel0","Channel1","Channel2","Channel3","Channel4","Channel5","Channel6","Channel7","Channel8","Channel9","Channel10","Channel11","Channel12","Channel13","Channel14","Channel15","Channel16","Channel17","Channel18","Channel19","Channel20","Channel21","Channel22","Channel23","Channel24","Channel25","Channel26","Channel27","Channel28","Channel29","Channel30","Channel31","Channel32","Channel33","Channel34","Channel35","Channel36","Channel37","Channel38","Channel39","Channel40","Channel41","Channel42","Channel43","Channel44","Channel45","Channel46","Channel47","Channel48","Channel49","Channel50","Channel51","Channel52","Channel53","Channel54","Channel55","Channel56","Channel57","Channel58","Channel59","Channel60","Channel61","Channel62","Channel63","Channel64","Channel65","Channel66","Channel67","Channel68","Channel69","Channel70","Channel71","Channel72","Channel73","Channel74","Channel75","Channel76","Channel77","Channel78","Channel79","Channel80","Channel81","Channel82","Channel83","Channel84","Channel85","Channel86","Channel87","Channel88","Channel89","Channel90","Channel91","Channel92","Channel93","Channel94","Channel95","Channel96","Channel97","Channel98","Channel99","Channel100","Channel101","Channel102","Channel103","Channel104","Channel105","Channel106","Channel107","Channel108","Channel109","Channel110","Channel111","Channel112","Channel113","Channel114","Channel115","Channel116","Channel117","Channel118","Channel119","Channel120","Channel121","Channel122","Channel123","Channel124","Channel125","Channel126","Channel127","Channel128","Channel129","Channel130","Channel131","Channel132","Channel133","Channel134","Channel135","Channel136","Channel137","Channel138","Channel139","Channel140","Channel141","Channel142","Channel143","Channel144","Channel145","Channel146","Channel147","Channel148","Channel149","Channel150","Channel151","Channel152","Channel153","Channel154","Channel155","Channel156","Channel157","Channel158","Channel159","Channel160","Channel161","Channel162","Channel163","Channel164","Channel165","Channel166","Channel167","Channel168","Channel169","Channel170","Channel171","Channel172","Channel173","Channel174","Channel175","Channel176","Channel177","Channel178","Channel179","touched","label"
"0","1495.63","1590.25","1594.15","1574.43","1521.16","1973.7","1551.23","1580.5","1570.84","1560.03","1563.03","1592.29","1599.17","1583.6","1586.12","1640.88","1706.4","1710.13","1697.16","1700.88","1726.32","1771.05","1770.0","1758.27","1761.38","1774.16","1813.0","1826.0","1830.0","1894.65","1498.71","1592.4","1580.48","1551.44","1547.53","1528.66","1538.63","1564.63","1546.38","1547.0","1539.66","1579.16","1581.05","1569.77","1584.09","1628.42","1692.62","1705.0","1685.36","1713.39","1732.69","1773.0","1782.0","1765.3","1779.98","1791.0","1818.15","1835.12","1835.42","1902.0","1484.69","1569.86","1567.23","1547.98","1530.85","1521.54","1515.04","1489.12","1545.47","1524.14","1539.9","1555.53","1581.07","1574.08","1567.0","1627.0","1686.73","1700.94","1692.16","1702.76","1731.48","1765.15","1776.05","1757.15","1772.64","1788.67","1816.46","1832.0","1831.55","1893.26","1487.35","1561.71","1576.1","1556.96","1541.34","1535.83","1524.85","1567.93","1568.13","1532.04","1540.46","1579.81","1588.64","1574.93","1571.69","1637.0","1691.0","1699.21","1686.1","1681.62","1723.0","1757.61","1767.08","1755.34","1759.0","1781.0","1745.58","1826.0","1829.21","1853.54","1496.67","1561.25","1583.42","1562.44","1541.75","1492.76","1531.58","1584.41","1565.77","1541.53","1556.91","1579.98","1597.35","1595.78","1576.26","1643.87","1695.99","1703.64","1690.0","1682.34","1722.34","1757.0","1764.15","1746.42","1738.38","1773.0","1804.13","1814.0","1811.0","1870.0","1486.02","1554.64","1573.95","1553.97","1537.65","1537.27","1525.26","1569.95","1565.0","1534.18","1549.97","1577.0","1601.75","1590.07","1570.57","1641.57","1693.0","1712.0","1691.92","1688.0","1724.45","1756.35","1764.81","1747.66","1746.0","1769.0","1807.81","1812.05","1814.0","1779.28","0","0"
"1679540157.8959389","1495.0","1591.0","1596.0","1575.0","1522.0","1971.0","1552.0","1581.0","1572.0","1561.0","1563.0","1592.0","1601.0","1584.0","1587.0","1641.0","1706.0","1710.0","1697.0","1702.0","1727.0","1772.0","1770.0","1758.0","1761.0","1775.0","1813.0","1826.0","1830.0","1894.0","1499.0","1593.0","1582.0","1551.0","1547.0","1529.0","1540.0","1565.0","1546.0","1547.0","1539.0","1579.0","1582.0","1570.0","1585.0","1629.0","1692.0","1705.0","1686.0","1713.0","1733.0","1773.0","1782.0","1765.0","1780.0","1791.0","1819.0","1835.0","1836.0","1902.0","1484.0","1570.0","1567.0","1548.0","1530.0","1522.0","1517.0","1488.0","1545.0","1523.0","1539.0","1557.0","1582.0","1574.0","1567.0","1627.0","1686.0","1701.0","1693.0","1702.0","1732.0","1765.0","1776.0","1757.0","1772.0","1789.0","1817.0","1832.0","1834.0","1894.0","1487.0","1562.0","1577.0","1557.0","1541.0","1536.0","1525.0","1569.0","1568.0","1533.0","1540.0","1581.0","1589.0","1574.0","1572.0","1637.0","1691.0","1700.0","1687.0","1683.0","1723.0","1758.0","1768.0","1756.0","1759.0","1781.0","1746.0","1826.0","1829.0","1854.0","1497.0","1562.0","1583.0","1563.0","1543.0","1493.0","1532.0","1586.0","1566.0","1541.0","1556.0","1581.0","1597.0","1596.0","1576.0","1643.0","1696.0","1704.0","1690.0","1683.0","1723.0","1757.0","1765.0","1747.0","1739.0","1773.0","1805.0","1814.0","1811.0","1870.0","1486.0","1554.0","1573.0","1555.0","1537.0","1537.0","1526.0","1571.0","1564.0","1535.0","1549.0","1577.0","1602.0","1590.0","1571.0","1642.0","1693.0","1712.0","1693.0","1688.0","1723.0","1757.0","1765.0","1748.0","1746.0","1769.0","1809.0","1813.0","1814.0","1779.0","0","0"
"1679540157.946414","1495.0","1591.0","1596.0","1575.0","1522.0","1972.0","1552.0","1581.0","1572.0","1561.0","1563.0","1591.0","1601.0","1584.0","1587.0","1641.0","1706.0","1710.0","1697.0","1702.0","1727.0","1772.0","1770.0","1758.0","1761.0","1775.0","1813.0","1826.0","1830.0","1894.0","1499.0","1593.0","1582.0","1551.0","1547.0","1529.0","1540.0","1565.0","1546.0","1547.0","1539.0","1579.0","1582.0","1570.0","1585.0","1629.0","1692.0","1705.0","1686.0","1713.0","1733.0","1773.0","1782.0","1765.0","1780.0","1791.0","1819.0","1835.0","1836.0","1902.0","1484.0","1570.0","1567.0","1548.0","1530.0","1522.0","1517.0","1488.0","1545.0","1523.0","1539.0","1557.0","1582.0","1574.0","1567.0","1627.0","1686.0","1701.0","1693.0","1702.0","1732.0","1765.0","1776.0","1757.0","1772.0","1789.0","1817.0","1832.0","1834.0","1894.0","1487.0","1562.0","1577.0","1557.0","1541.0","1536.0","1525.0","1569.0","1568.0","1533.0","1540.0","1581.0","1589.0","1574.0","1572.0","1637.0","1691.0","1700.0","1687.0","1683.0","1723.0","1758.0","1768.0","1756.0","1759.0","1781.0","1746.0","1826.0","1829.0","1854.0","1497.0","1562.0","1583.0","1563.0","1543.0","1493.0","1532.0","1586.0","1566.0","1541.0","1556.0","1581.0","1597.0","1596.0","1576.0","1643.0","1696.0","1704.0","1690.0","1683.0","1723.0","1757.0","1765.0","1747.0","1739.0","1773.0","1805.0","1814.0","1812.0","1870.0","1486.0","1554.0","1573.0","1555.0","1537.0","1537.0","1526.0","1571.0","1564.0","1535.0","1549.0","1577.0","1602.0","1590.0","1571.0","1642.0","1693.0","1712.0","1693.0","1688.0","1723.0","1757.0","1765.0","1748.0","1746.0","1769.0","1809.0","1813.0","1814.0","1779.0","0","0"
"1679540157.9815896","1495.0","1591.0","1596.0","1575.0","1522.0","1972.0","1552.0","1581.0","1572.0","1561.0","1563.0","1591.0","1601.0","1584.0","1587.0","1641.0","1706.0","1710.0","1697.0","1702.0","1727.0","1772.0","1770.0","1758.0","1761.0","1775.0","1813.0","1826.0","1830.0","1894.0","1499.0","1593.0","1582.0","1551.0","1547.0","1529.0","1540.0","1565.0","1545.0","1547.0","1539.0","1579.0","1582.0","1570.0","1585.0","1629.0","1692.0","1705.0","1686.0","1713.0","1733.0","1773.0","1782.0","1765.0","1780.0","1791.0","1819.0","1835.0","1836.0","1902.0","1484.0","1570.0","1567.0","1548.0","1530.0","1522.0","1516.0","1488.0","1545.0","1523.0","1539.0","1557.0","1582.0","1574.0","1567.0","1627.0","1686.0","1701.0","1693.0","1702.0","1732.0","1765.0","1776.0","1757.0","1772.0","1789.0","1817.0","1832.0","1834.0","1894.0","1487.0","1562.0","1577.0","1557.0","1541.0","1536.0","1525.0","1569.0","1568.0","1533.0","1540.0","1581.0","1589.0","1574.0","1572.0","1637.0","1691.0","1700.0","1687.0","1683.0","1723.0","1758.0","1768.0","1756.0","1759.0","1781.0","1746.0","1826.0","1829.0","1854.0","1497.0","1562.0","1583.0","1563.0","1542.0","1492.0","1532.0","1586.0","1566.0","1541.0","1556.0","1581.0","1597.0","1596.0","1576.0","1643.0","1696.0","1704.0","1690.0","1683.0","1723.0","1757.0","1765.0","1747.0","1739.0","1773.0","1805.0","1814.0","1812.0","1870.0","1486.0","1554.0","1573.0","1555.0","1537.0","1537.0","1526.0","1571.0","1564.0","1535.0","1549.0","1577.0","1602.0","1590.0","1571.0","1642.0","1693.0","1712.0","1693.0","1688.0","1723.0","1757.0","1765.0","1748.0","1746.0","1769.0","1809.0","1813.0","1814.0","1779.0","0","0"
"1679540158.0257788","1495.0","1591.0","1596.0","1575.0","1522.0","1973.0","1552.0","1581.0","1572.0","1561.0","1563.0","1591.0","1601.0","1584.0","1587.0","1641.0","1706.0","1710.0","1697.0","1702.0","1727.0","1772.0","1770.0","1758.0","1761.0","1775.0","1813.0","1826.0","1830.0","1894.0","1499.0","1593.0","1582.0","1551.0","1547.0","1529.0","1540.0","1565.0","1545.0","1547.0","1539.0","1579.0","1582.0","1570.0","1585.0","1629.0","1692.0","1705.0","1686.0","1713.0","1733.0","1773.0","1782.0","1765.0","1780.0","1791.0","1819.0","1835.0","1836.0","1902.0","1484.0","1570.0","1567.0","1548.0","1530.0","1522.0","1516.0","1488.0","1545.0","1523.0","1539.0","1557.0","1582.0","1574.0","1567.0","1627.0","1686.0","1701.0","1693.0","1702.0","1732.0","1765.0","1776.0","1757.0","1772.0","1789.0","1817.0","1832.0","1834.0","1894.0","1487.0","1562.0","1577.0","1557.0","1541.0","1536.0","1525.0","1569.0","1568.0","1533.0","1540.0","1581.0","1589.0","1574.0","1572.0","1637.0","1691.0","1700.0","1687.0","1683.0","1723.0","1758.0","1768.0","1756.0","1759.0","1781.0","1746.0","1826.0","1829.0","1854.0","1497.0","1562.0","1583.0","1563.0","1542.0","1492.0","1532.0","1586.0","1566.0","1541.0","1556.0","1581.0","1597.0","1596.0","1576.0","1643.0","1696.0","1704.0","1690.0","1683.0","1723.0","1757.0","1765.0","1747.0","1739.0","1773.0","1805.0","1814.0","1812.0","1870.0","1486.0","1554.0","1573.0","1555.0","1537.0","1537.0","1526.0","1571.0","1564.0","1535.0","1549.0","1577.0","1602.0","1590.0","1571.0","1642.0","1693.0","1712.0","1693.0","1688.0","1723.0","1757.0","1765.0","1748.0","1746.0","1769.0","1809.0","1813.0","1814.0","1779.0","0","0"
"1679540158.0604224","1495.0","1591.0","1596.0","1575.0","1522.0","1972.0","1552.0","1581.0","1572.0","1561.0","1563.0","1591.0","1601.0","1584.0","1587.0","1641.0","1706.0","1710.0","1697.0","1702.0","1727.0","1772.0","1770.0","1758.0","1761.0","1775.0","1813.0","1826.0","1830.0","1894.0","1499.0","1593.0","1582.0","1550.0","1547.0","1529.0","1540.0","1565.0","1545.0","1546.0","1539.0","1579.0","1582.0","1570.0","1585.0","1629.0","1692.0","1705.0","1685.0","1713.0","1733.0","1773.0","1782.0","1765.0","1780.0","1791.0","1819.0","1835.0","1836.0","1902.0","1484.0","1570.0","1567.0","1547.0","1530.0","1522.0","1516.0","1488.0","1545.0","1523.0","1539.0","1557.0","1582.0","1574.0","1567.0","1627.0","1686.0","1701.0","1693.0","1702.0","1732.0","1765.0","1776.0","1757.0","1772.0","1789.0","1817.0","1832.0","1834.0","1894.0","1487.0","1562.0","1577.0","1557.0","1541.0","1536.0","1525.0","1569.0","1568.0","1533.0","1540.0","1581.0","1589.0","1574.0","1572.0","1637.0","1691.0","1700.0","1687.0","1683.0","1723.0","1758.0","1768.0","1756.0","1759.0","1781.0","1746.0","1826.0","1829.0","1854.0","1497.0","1562.0","1583.0","1563.0","1542.0","1492.0","1532.0","1586.0","1566.0","1541.0","1556.0","1581.0","1597.0","1596.0","1576.0","1643.0","1696.0","1704.0","1690.0","1683.0","1723.0","1757.0","1765.0","1747.0","1739.0","1773.0","1805.0","1814.0","1812.0","1869.0","1486.0","1554.0","1573.0","1555.0","1537.0","1537.0","1526.0","1571.0","1564.0","1535.0","1549.0","1577.0","1602.0","1590.0","1571.0","1642.0","1693.0","1712.0","1693.0","1688.0","1723.0","1757.0","1765.0","1748.0","1746.0","1769.0","1809.0","1813.0","1814.0","1779.0","0","0"
"1679540158.0843565","1495.0","1591.0","1596.0","1575.0","1522.0","1972.0","1552.0","1581.0","1572.0","1561.0","1563.0","1591.0","1601.0","1584.0","1587.0","1641.0","1706.0","1710.0","1697.0","1702.0","1727.0","1772.0","1770.0","1758.0","1761.0","1775.0","1813.0","1826.0","1830.0","1894.0","1499.0","1593.0","1582.0","1550.0","1547.0","1529.0","1540.0","1565.0","1545.0","1546.0","1539.0","1579.0","1582.0","1570.0","1585.0","1629.0","1692.0","1705.0","1685.0","1713.0","1733.0","1773.0","1782.0","1765.0","1780.0","1791.0","1819.0","1835.0","1836.0","1902.0","1484.0","1570.0","1567.0","1547.0","1531.0","1522.0","1516.0","1488.0","1545.0","1523.0","1539.0","1557.0","1582.0","1574.0","1567.0","1627.0","1685.0","1701.0","1693.0","1702.0","1732.0","1765.0","1776.0","1757.0","1772.0","1789.0","1817.0","1832.0","1834.0","1894.0","1487.0","1562.0","1577.0","1557.0","1541.0","1536.0","1525.0","1569.0","1568.0","1533.0","1540.0","1581.0","1589.0","1574.0","1572.0","1637.0","1691.0","1700.0","1687.0","1683.0","1723.0","1758.0","1768.0","1756.0","1759.0","1781.0","1746.0","1826.0","1829.0","1854.0","1497.0","1562.0","1583.0","1563.0","1542.0","1492.0","1532.0","1586.0","1566.0","1541.0","1556.0","1581.0","1597.0","1596.0","1576.0","1643.0","1696.0","1704.0","1690.0","1682.0","1723.0","1757.0","1765.0","1747.0","1739.0","1773.0","1805.0","1814.0","1812.0","1869.0","1486.0","1555.0","1573.0","1555.0","1537.0","1537.0","1526.0","1571.0","1564.0","1535.0","1549.0","1577.0","1602.0","1590.0","1571.0","1642.0","1693.0","1712.0","1693.0","1688.0","1723.0","1757.0","1765.0","1748.0","1746.0","1769.0","1809.0","1813.0","1814.0","1779.0","0","0"
"1679540158.1058843","1494.0","1591.0","1596.0","1574.0","1522.0","1971.0","1552.0","1581.0","1572.0","1561.0","1563.0","1591.0","1601.0","1584.0","1587.0","1641.0","1706.0","1710.0","1697.0","1702.0","1727.0","1772.0","1770.0","1758.0","1761.0","1775.0","1813.0","1826.0","1830.0","1894.0","1499.0","1593.0","1582.0","1550.0","1547.0","1529.0","1540.0","1565.0","1545.0","1546.0","1539.0","1579.0","1582.0","1570.0","1585.0","1629.0","1692.0","1705.0","1685.0","1713.0","1733.0","1773.0","1782.0","1765.0","1780.0","1791.0","1819.0","1835.0","1836.0","1902.0","1484.0","1570.0","1567.0","1547.0","1531.0","1523.0","1516.0","1488.0","1545.0","1523.0","1539.0","1557.0","1582.0","1574.0","1567.0","1627.0","1685.0","1701.0","1693.0","1702.0","1732.0","1765.0","1776.0","1757.0","1772.0","1789.0","1817.0","1832.0","1834.0","1894.0","1487.0","1562.0","1577.0","1558.0","1541.0","1536.0","1525.0","1569.0","1568.0","1533.0","1540.0","1581.0","1589.0","1574.0","1572.0","1637.0","1691.0","1700.0","1687.0","1683.0","1723.0","1758.0","1768.0","1756.0","1759.0","1781.0","1746.0","1826.0","1829.0","1854.0","1497.0","1562.0","1583.0","1563.0","1542.0","1492.0","1532.0","1586.0","1566.0","1541.0","1556.0","1581.0","1597.0","1596.0","1576.0","1643.0","1696.0","1704.0","1690.0","1682.0","1723.0","1757.0","1765.0","1747.0","1739.0","1773.0","1805.0","1814.0","1812.0","1869.0","1486.0","1555.0","1573.0","1555.0","1537.0","1537.0","1526.0","1571.0","1564.0","1535.0","1549.0","1577.0","1602.0","1590.0","1571.0","1642.0","1693.0","1712.0","1693.0","1688.0","1723.0","1757.0","1765.0","1748.0","1746.0","1769.0","1809.0","1813.0","1814.0","1779.0","0","0"
"1679540158.13323","1494.0","1591.0","1596.0","1574.0","1522.0","1971.0","1552.0","1581.0","1571.0","1561.0","1563.0","1591.0","1601.0","1584.0","1587.0","1641.0","1706.0","1710.0","1697.0","1702.0","1727.0","1772.0","1770.0","1758.0","1761.0","1775.0","1813.0","1826.0","1830.0","1894.0","1499.0","1593.0","1582.0","1550.0","1547.0","1529.0","1540.0","1565.0","1545.0","1546.0","1539.0","1579.0","1582.0","1570.0","1585.0","1629.0","1692.0","1705.0","1685.0","1713.0","1733.0","1773.0","1782.0","1765.0","1780.0","1791.0","1819.0","1835.0","1836.0","1902.0","1484.0","1570.0","1567.0","1547.0","1531.0","1523.0","1516.0","1488.0","1545.0","1523.0","1539.0","1557.0","1582.0","1574.0","1567.0","1627.0","1685.0","1701.0","1693.0","1702.0","1732.0","1765.0","1776.0","1757.0","1772.0","1789.0","1817.0","1832.0","1834.0","1894.0","1487.0","1562.0","1577.0","1558.0","1541.0","1536.0","1525.0","1569.0","1568.0","1533.0","1540.0","1581.0","1589.0","1574.0","1572.0","1637.0","1691.0","1700.0","1687.0","1683.0","1723.0","1758.0","1768.0","1756.0","1759.0","1781.0","1746.0","1826.0","1829.0","1854.0","1497.0","1562.0","1583.0","1563.0","1542.0","1492.0","1532.0","1586.0","1566.0","1541.0","1556.0","1581.0","1597.0","1596.0","1576.0","1643.0","1696.0","1704.0","1690.0","1682.0","1723.0","1757.0","1765.0","1747.0","1739.0","1773.0","1805.0","1814.0","1812.0","1868.0","1486.0","1555.0","1573.0","1555.0","1537.0","1537.0","1526.0","1571.0","1564.0","1535.0","1549.0","1577.0","1602.0","1590.0","1571.0","1642.0","1693.0","1712.0","1693.0","1688.0","1723.0","1757.0","1765.0","1748.0","1746.0","1769.0","1809.0","1813.0","1814.0","1779.0","0","0"
"1679540158.158989","1494.0","1591.0","1596.0","1574.0","1522.0","1972.0","1552.0","1581.0","1571.0","1561.0","1563.0","1591.0","1601.0","1584.0","1587.0","1640.0","1706.0","1710.0","1697.0","1702.0","1727.0","1772.0","1770.0","1758.0","1761.0","1775.0","1813.0","1826.0","1830.0","1894.0","1499.0","1593.0","1582.0","1550.0","1547.0","1529.0","1540.0","1565.0","1545.0","1546.0","1539.0","1579.0","1582.0","1570.0","1585.0","1629.0","1692.0","1705.0","1685.0","1713.0","1733.0","1773.0","1782.0","1765.0","1780.0","1791.0","1819.0","1835.0","1836.0","1902.0","1484.0","1570.0","1567.0","1547.0","1531.0","1523.0","1516.0","1488.0","1545.0","1524.0","1539.0","1557.0","1582.0","1574.0","1567.0","1627.0","1685.0","1701.0","1693.0","1702.0","1732.0","1765.0","1776.0","1757.0","1772.0","1789.0","1817.0","1832.0","1834.0","1894.0","1487.0","1562.0","1577.0","1558.0","1541.0","1536.0","1525.0","1569.0","1568.0","1533.0","1540.0","1581.0","1589.0","1574.0","1572.0","1637.0","1691.0","1700.0","1687.0","1683.0","1723.0","1758.0","1768.0","1756.0","1759.0","1781.0","1746.0","1826.0","1829.0","1854.0","1497.0","1562.0","1583.0","1563.0","1542.0","1492.0","1532.0","1586.0","1566.0","1541.0","1556.0","1581.0","1597.0","1596.0","1576.0","1643.0","1696.0","1704.0","1690.0","1682.0","1723.0","1757.0","1765.0","1747.0","1739.0","1773.0","1805.0","1814.0","1812.0","1868.0","1486.0","1555.0","1573.0","1555.0","1537.0","1537.0","1526.0","1571.0","1564.0","1535.0","1549.0","1577.0","1602.0","1590.0","1571.0","1642.0","1693.0","1712.0","1693.0","1688.0","1723.0","1757.0","1765.0","1748.0","1746.0","1769.0","1809.0","1813.0","1814.0","1779.0","0","0"
