"time (s)","Channel0","Channel1","Channel2","Channel3","Channel4","Channel5","Channel6","Channel7","Channel8","Channel9","Channel10","Channel11","Channel12","Channel13","Channel14","Channel15","Channel16","Channel17","Channel18","Channel19","Channel20","Channel21","Channel22","Channel23","Channel24","Channel25","Channel26","Channel27","Channel28","Channel29","Channel30","Channel31","Channel32","Channel33","Channel34","Channel35","Channel36","Channel37","Channel38","Channel39","Channel40","Channel41","Channel42","Channel43","Channel44","Channel45","Channel46","Channel47","Channel48","Channel49","Channel50","Channel51","Channel52","Channel53","Channel54","Channel55","Channel56","Channel57","Channel58","Channel59","Channel60","Channel61","Channel62","Channel63","Channel64","Channel65","Channel66","Channel67","Channel68","Channel69","Channel70","Channel71","Channel72","Channel73","Channel74","Channel75","Channel76","Channel77","Channel78","Channel79","Channel80","Channel81","Channel82","Channel83","Channel84","Channel85","Channel86","Channel87","Channel88","Channel89","Channel90","Channel91","Channel92","Channel93","Channel94","Channel95","Channel96","Channel97","Channel98","Channel99","Channel100","Channel101","Channel102","Channel103","Channel104","Channel105","Channel106","Channel107","Channel108","Channel109","Channel110","Channel111","Channel112","Channel113","Channel114","Channel115","Channel116","Channel117","Channel118","Channel119","Channel120","Channel121","Channel122","Channel123","Channel124","Channel125","Channel126","Channel127","Channel128","Channel129","Channel130","Channel131","Channel132","Channel133","Channel134","Channel135","Channel136","Channel137","Channel138","Channel139","Channel140","Channel141","Channel142","Channel143","Channel144","Channel145","Channel146","Channel147","Channel148","Channel149","Channel150","Channel151","Channel152","Channel153","Channel154","Channel155","Channel156","Channel157","Channel158","Channel159","Channel160","Channel161","Channel162","Channel163","Channel164","Channel165","Channel166","Channel167","Channel168","Channel169","Channel170","Channel171","Channel172","Channel173","Channel174","Channel175","Channel176","Channel177","Channel178","Channel179","touched","label"
"0","1463.29","1574.26","1574.23","1551.81","1498.01","1969.27","1531.7","1554.99","1547.81","1535.36","1534.36","1571.51","1578.59","1559.34","1563.66","1614.3","1679.94","1688.52","1666.86","1671.78","1702.1","1740.35","1747.02","1726.3","1726.98","1744.56","1790.03","1790.79","1797.98","1872.5","1480.3","1574.24","1561.45","1533.54","1519.95","1503.13","1517.41","1538.93","1531.15","1521.94","1513.63","1550.8","1563.33","1554.43","1557.81","1607.65","1665.74","1685.65","1668.52","1684.02","1707.19","1740.25","1754.77","1736.89","1743.38","1751.56","1794.54","1799.78","1804.3","1887.2","1465.96","1554.26","1553.75","1528.12","1508.25","1501.04","1492.3","1470.42","1521.18","1503.22","1509.99","1517.44","1548.18","1556.63","1552.52","1609.99","1649.73","1677.17","1667.13","1674.06","1704.23","1731.76","1747.81","1732.7","1740.12","1749.31","1783.74","1791.77","1796.37","1872.01","1474.91","1545.65","1561.05","1538.1","1521.87","1518.49","1497.12","1549.62","1552.57","1507.82","1518.4","1544.55","16156715.89","1564.22","1545.41","1606.2","1649.13","1677.12","1668.98","1660.33","1689.38","1715.01","1741.35","1730.24","1728.7","1742.58","1711.38","1788.87","1792.03","1846.25","1481.09","1545.79","1573.18","1550.96","1519.99","1468.58","1515.99","1560.69","1549.99","1516.76","1526.41","1551.95","1567.94","1579.6","1550.88","1611.07","1652.42","1680.36","1671.53","1653.66","1692.28","1710.8","1732.92","1724.39","1706.37","1728.78","1766.66","1779.11","1784.07","1852.95","1472.52","1548.49","1559.79","1533.72","1519.77","1516.33","1507.47","1549.38","1543.61","1512.75","1527.23","1550.39","1571.66","1566.85","1541.85","1611.63","1660.03","1681.46","1666.83","1656.56","1694.3","1713.37","1732.34","1717.6","1706.37","1730.69","1777.43","1777.16","1777.64","1761.92","0","0"
"1678904737.2115119","1477.0","1573.0","1574.0","1553.0","1499.0","1971.0","1531.0","1555.0","1549.0","1535.0","1533.0","1573.0","1578.0","1557.0","1563.0","1614.0","1680.0","1689.0","1666.0","1671.0","1701.0","1740.0","1747.0","1726.0","1726.0","1744.0","1790.0","1794.0","1801.0","1875.0","1479.0","1575.0","1562.0","1534.0","1520.0","1502.0","1517.0","1539.0","1531.0","1522.0","1514.0","1551.0","1562.0","1553.0","1556.0","1607.0","1666.0","1686.0","1668.0","1684.0","1706.0","1740.0","1754.0","1737.0","1743.0","1751.0","1794.0","1803.0","1806.0","1891.0","1465.0","1554.0","1554.0","1528.0","1508.0","1500.0","1492.0","1470.0","1521.0","1502.0","1510.0","1517.0","1547.0","1556.0","1551.0","1610.0","1649.0","1677.0","1666.0","1674.0","1704.0","1732.0","1748.0","1732.0","1740.0","1748.0","1783.0","1795.0","1799.0","1875.0","1475.0","1546.0","1561.0","1538.0","1522.0","1518.0","1497.0","1549.0","1552.0","1507.0","1517.0","1545.0","1565.0","1563.0","1545.0","1606.0","1651.0","1679.0","1671.0","1662.0","1692.0","1717.0","1743.0","1732.0","1730.0","1743.0","1712.0","1790.0","1792.0","1848.0","1479.0","1544.0","1572.0","1549.0","1517.0","1466.0","1512.0","1559.0","1547.0","1513.0","1527.0","1552.0","1569.0","1580.0","1550.0","1612.0","1655.0","1681.0","1673.0","1655.0","1694.0","1713.0","1735.0","1728.0","1708.0","1730.0","1768.0","1780.0","1785.0","1854.0","1470.0","1546.0","1558.0","1531.0","1518.0","1514.0","1506.0","1547.0","1541.0","1509.0","1527.0","1550.0","1571.0","1566.0","1542.0","1613.0","1661.0","1683.0","1668.0","1658.0","1696.0","1715.0","1734.0","1719.0","1708.0","1732.0","1778.0","1778.0","1779.0","1763.0","1","0"
"1678904737.2401361","1477.0","1573.0","1575.0","1553.0","1499.0","1971.0","1531.0","1555.0","1549.0","1535.0","1533.0","1573.0","1578.0","1557.0","1563.0","1614.0","1680.0","1689.0","1666.0","1671.0","1701.0","1740.0","1747.0","1726.0","1726.0","1744.0","1790.0","1794.0","1801.0","1875.0","1480.0","1575.0","1562.0","1534.0","1520.0","1502.0","1517.0","1539.0","1532.0","1522.0","1514.0","1551.0","1562.0","1553.0","1556.0","1607.0","1666.0","1686.0","1668.0","1684.0","1706.0","1740.0","1754.0","1737.0","1743.0","1751.0","1794.0","1803.0","1806.0","1892.0","1465.0","1554.0","1554.0","1528.0","1508.0","1500.0","1492.0","1470.0","1521.0","1503.0","1510.0","1517.0","1547.0","1556.0","1551.0","1610.0","1649.0","1677.0","1666.0","1674.0","1704.0","1732.0","1748.0","1732.0","1740.0","1748.0","1783.0","1795.0","1799.0","1875.0","1475.0","1546.0","1561.0","1538.0","1522.0","1518.0","1497.0","1549.0","1552.0","1507.0","1517.0","1545.0","1565.0","1563.0","1545.0","1606.0","1651.0","1679.0","1671.0","1662.0","1692.0","1717.0","1743.0","1732.0","1730.0","1743.0","1712.0","1791.0","1792.0","1848.0","1479.0","1544.0","1572.0","1549.0","1517.0","1466.0","1512.0","1559.0","1548.0","1513.0","1527.0","1552.0","1569.0","1580.0","1550.0","1612.0","1655.0","1681.0","1673.0","1655.0","1694.0","1713.0","1735.0","1728.0","1708.0","1730.0","1768.0","1780.0","1785.0","1855.0","1470.0","1547.0","1558.0","1531.0","1518.0","1514.0","1506.0","1547.0","1541.0","1509.0","1527.0","1550.0","1571.0","1566.0","1542.0","1613.0","1661.0","1683.0","1668.0","1658.0","1696.0","1715.0","1734.0","1719.0","1708.0","1732.0","1778.0","1778.0","1779.0","1763.0","1","0"
"1678904737.272922","1477.0","1573.0","1575.0","1553.0","1500.0","1971.0","1531.0","1555.0","1549.0","1535.0","1533.0","1573.0","1578.0","1557.0","1563.0","1614.0","1680.0","1689.0","1666.0","1671.0","1701.0","1740.0","1747.0","1726.0","1726.0","1744.0","1790.0","1794.0","1801.0","1875.0","1480.0","1575.0","1562.0","1534.0","1520.0","1502.0","1517.0","1539.0","1532.0","1522.0","1514.0","1551.0","1562.0","1553.0","1556.0","1607.0","1666.0","1686.0","1668.0","1684.0","1706.0","1740.0","1754.0","1737.0","1743.0","1751.0","1794.0","1803.0","1806.0","1892.0","1465.0","1554.0","1554.0","1529.0","1508.0","1500.0","1492.0","1470.0","1521.0","1503.0","1510.0","1517.0","1547.0","1556.0","1551.0","1610.0","1649.0","1677.0","1666.0","1674.0","1704.0","1732.0","1748.0","1732.0","1740.0","1749.0","1783.0","1795.0","1799.0","1875.0","1475.0","1546.0","1561.0","1538.0","1522.0","1518.0","1497.0","1549.0","1552.0","1507.0","1517.0","1545.0","1565.0","1563.0","1545.0","1606.0","1651.0","1679.0","1671.0","1662.0","1692.0","1717.0","1743.0","1732.0","1730.0","1743.0","1712.0","1791.0","1792.0","1848.0","1479.0","1544.0","1572.0","1550.0","1517.0","1466.0","1512.0","1559.0","1548.0","1513.0","1527.0","1552.0","1569.0","1580.0","1550.0","1612.0","1655.0","1681.0","1673.0","1655.0","1694.0","1713.0","1735.0","1728.0","1708.0","1730.0","1768.0","1780.0","1785.0","1855.0","1470.0","1547.0","1558.0","1531.0","1518.0","1514.0","1505.0","1547.0","1541.0","1509.0","1527.0","1550.0","1571.0","1566.0","1542.0","1613.0","1661.0","1683.0","1668.0","1658.0","1696.0","1715.0","1734.0","1719.0","1708.0","1732.0","1778.0","1778.0","1779.0","1763.0","1","0"
"1678904737.3138385","1477.0","1573.0","1575.0","1553.0","1500.0","1971.0","1531.0","1555.0","1549.0","1535.0","1533.0","1573.0","1578.0","1557.0","1564.0","1614.0","1680.0","1689.0","1666.0","1671.0","1701.0","1740.0","1747.0","1726.0","1726.0","1744.0","1790.0","1794.0","1801.0","1876.0","1480.0","1575.0","1562.0","1534.0","1520.0","1502.0","1517.0","1540.0","1532.0","1522.0","1514.0","1551.0","1562.0","1553.0","1556.0","1607.0","1666.0","1686.0","1668.0","1684.0","1706.0","1740.0","1754.0","1737.0","1743.0","1751.0","1794.0","1803.0","1806.0","1892.0","1465.0","1554.0","1554.0","1529.0","1508.0","1500.0","1492.0","1471.0","1521.0","1503.0","1510.0","1517.0","1547.0","1556.0","1552.0","1610.0","1649.0","1677.0","1666.0","1674.0","1704.0","1732.0","1748.0","1732.0","1740.0","1749.0","1783.0","1795.0","1799.0","1875.0","1475.0","1546.0","1561.0","1538.0","1522.0","1518.0","1497.0","1549.0","1552.0","1507.0","1517.0","1545.0","1565.0","1563.0","1545.0","1606.0","1651.0","1679.0","1671.0","1662.0","1692.0","1717.0","1743.0","1732.0","1730.0","1743.0","1712.0","1791.0","1792.0","1848.0","1479.0","1544.0","1572.0","1550.0","1517.0","1466.0","1512.0","1559.0","1548.0","1513.0","1527.0","1552.0","1569.0","1580.0","1550.0","1612.0","1655.0","1681.0","1673.0","1655.0","1694.0","1713.0","1735.0","1728.0","1708.0","1730.0","1768.0","1780.0","1785.0","1855.0","1470.0","1547.0","1558.0","1531.0","1518.0","1514.0","1505.0","1547.0","1541.0","1509.0","1527.0","1550.0","1571.0","1566.0","1542.0","1613.0","1661.0","1683.0","1668.0","1658.0","1696.0","1715.0","1734.0","1719.0","1708.0","1732.0","1778.0","1778.0","1779.0","1763.0","1","0"
"1678904737.3429875","1477.0","1573.0","1575.0","1553.0","1500.0","1971.0","1531.0","1555.0","1549.0","1535.0","1533.0","1573.0","1578.0","1557.0","1564.0","1614.0","1680.0","1689.0","1666.0","1671.0","1701.0","1740.0","1747.0","1726.0","1726.0","1744.0","1790.0","1794.0","1801.0","1876.0","1480.0","1575.0","1562.0","1534.0","1520.0","1502.0","1517.0","1540.0","1532.0","1522.0","1514.0","1551.0","1562.0","1553.0","1556.0","1607.0","1666.0","1686.0","1668.0","1684.0","1706.0","1740.0","1754.0","1737.0","1743.0","1751.0","1794.0","1803.0","1806.0","1892.0","1465.0","1554.0","1554.0","1529.0","1508.0","1500.0","1492.0","1471.0","1521.0","1503.0","1510.0","1517.0","1547.0","1556.0","1552.0","1610.0","1649.0","1677.0","1666.0","1674.0","1704.0","1732.0","1748.0","1732.0","1740.0","1749.0","1783.0","1795.0","1799.0","1875.0","1475.0","1546.0","1561.0","1538.0","1522.0","1518.0","1497.0","1549.0","1552.0","1507.0","1517.0","1545.0","1565.0","1563.0","1545.0","1606.0","1651.0","1679.0","1671.0","1662.0","1692.0","1717.0","1743.0","1733.0","1730.0","1743.0","1712.0","1791.0","1792.0","1848.0","1479.0","1545.0","1572.0","1550.0","1517.0","1465.0","1512.0","1559.0","1548.0","1512.0","1527.0","1553.0","1569.0","1580.0","1550.0","1612.0","1655.0","1681.0","1673.0","1655.0","1694.0","1713.0","1735.0","1728.0","1708.0","1730.0","1768.0","1780.0","1785.0","1855.0","1470.0","1547.0","1558.0","1531.0","1518.0","1514.0","1505.0","1547.0","1541.0","1509.0","1527.0","1550.0","1571.0","1566.0","1542.0","1613.0","1661.0","1683.0","1668.0","1658.0","1696.0","1715.0","1734.0","1719.0","1708.0","1732.0","1778.0","1779.0","1779.0","1763.0","1","0"
"1678904737.374043","1477.0","1573.0","1575.0","1553.0","1500.0","1971.0","1531.0","1555.0","1549.0","1535.0","1533.0","1573.0","1578.0","1557.0","1564.0","1614.0","1680.0","1689.0","1666.0","1671.0","1701.0","1740.0","1747.0","1726.0","1726.0","1744.0","1790.0","1794.0","1801.0","1876.0","1480.0","1575.0","1562.0","1534.0","1520.0","1502.0","1517.0","1540.0","1532.0","1522.0","1514.0","1551.0","1562.0","1553.0","1557.0","1607.0","1666.0","1686.0","1668.0","1684.0","1706.0","1740.0","1754.0","1737.0","1743.0","1751.0","1794.0","1803.0","1806.0","1892.0","1465.0","1554.0","1554.0","1529.0","1508.0","1500.0","1492.0","1471.0","1521.0","1503.0","1510.0","1517.0","1547.0","1556.0","1552.0","1610.0","1649.0","1677.0","1666.0","1674.0","1704.0","1732.0","1748.0","1732.0","1740.0","1749.0","1783.0","1795.0","1799.0","1875.0","1474.0","1546.0","1561.0","1538.0","1522.0","1518.0","1497.0","1549.0","1552.0","1507.0","1517.0","1545.0","1565.0","1563.0","1545.0","1606.0","1650.0","1679.0","1671.0","1662.0","1692.0","1717.0","1743.0","1733.0","1730.0","1743.0","1712.0","1791.0","1792.0","1848.0","1479.0","1545.0","1572.0","1550.0","1517.0","1465.0","1512.0","1559.0","1548.0","1512.0","1527.0","1553.0","1569.0","1580.0","1550.0","1612.0","1655.0","1681.0","1673.0","1655.0","1694.0","1713.0","1735.0","1728.0","1709.0","1730.0","1768.0","1780.0","1785.0","1855.0","1470.0","1547.0","1558.0","1531.0","1518.0","1514.0","1505.0","1547.0","1541.0","1509.0","1527.0","1550.0","1571.0","1566.0","1542.0","1613.0","1661.0","1683.0","1668.0","1658.0","1696.0","1715.0","1734.0","1719.0","1708.0","1732.0","1778.0","1779.0","1779.0","1763.0","1","0"
"1678904737.399019","1477.0","1573.0","1575.0","1553.0","1500.0","1971.0","1531.0","1555.0","1549.0","1535.0","1534.0","1573.0","1578.0","1557.0","1564.0","1614.0","1680.0","1689.0","1666.0","1671.0","1701.0","1740.0","1747.0","1726.0","1726.0","1744.0","1790.0","1794.0","1801.0","1876.0","1480.0","1575.0","1562.0","1534.0","1520.0","1502.0","1517.0","1540.0","1532.0","1522.0","1514.0","1551.0","1563.0","1553.0","1557.0","1607.0","1666.0","1686.0","1668.0","1684.0","1706.0","1740.0","1754.0","1737.0","1743.0","1751.0","1794.0","1803.0","1806.0","1892.0","1465.0","1554.0","1554.0","1529.0","1508.0","1500.0","1492.0","1471.0","1521.0","1503.0","1510.0","1517.0","1547.0","1556.0","1552.0","1610.0","1649.0","1677.0","1666.0","1674.0","1704.0","1732.0","1748.0","1732.0","1740.0","1749.0","1783.0","1795.0","1799.0","1875.0","1474.0","1546.0","1561.0","1538.0","1522.0","1518.0","1497.0","1549.0","1553.0","1507.0","1517.0","1545.0","1565.0","1563.0","1545.0","1606.0","1650.0","1679.0","1671.0","1662.0","1692.0","1717.0","1743.0","1733.0","1730.0","1743.0","1712.0","1791.0","1792.0","1848.0","1479.0","1545.0","1572.0","1550.0","1517.0","1465.0","1512.0","1559.0","1548.0","1512.0","1527.0","1553.0","1569.0","1580.0","1550.0","1612.0","1655.0","1681.0","1673.0","1655.0","1694.0","1713.0","1735.0","1728.0","1709.0","1730.0","1768.0","1780.0","1785.0","1855.0","1470.0","1547.0","1558.0","1531.0","1518.0","1514.0","1505.0","1547.0","1541.0","1509.0","1527.0","1550.0","1571.0","1566.0","1542.0","1614.0","1661.0","1683.0","1668.0","1658.0","1696.0","1715.0","1734.0","1719.0","1708.0","1732.0","1778.0","1779.0","1779.0","1763.0","1","0"
"1678904737.4180155","1477.0","1573.0","1575.0","1553.0","1501.0","1971.0","1531.0","1555.0","1549.0","1535.0","1534.0","1573.0","1578.0","1557.0","1564.0","1614.0","1680.0","1689.0","1666.0","1671.0","1701.0","1740.0","1747.0","1726.0","1726.0","1744.0","1790.0","1794.0","1801.0","1876.0","1480.0","1575.0","1562.0","1534.0","1520.0","1502.0","1517.0","1540.0","1532.0","1522.0","1514.0","1551.0","1563.0","1553.0","1557.0","1607.0","1666.0","1686.0","1668.0","1684.0","1706.0","1740.0","1754.0","1737.0","1743.0","1751.0","1794.0","1803.0","1806.0","1892.0","1465.0","1554.0","1554.0","1529.0","1508.0","1500.0","1493.0","1471.0","1521.0","1503.0","1510.0","1516.0","1547.0","1556.0","1552.0","1610.0","1649.0","1677.0","1666.0","1674.0","1704.0","1732.0","1748.0","1732.0","1740.0","1749.0","1783.0","1795.0","1799.0","1875.0","1474.0","1546.0","1561.0","1538.0","1522.0","1518.0","1497.0","1549.0","1553.0","1507.0","1517.0","1545.0","1565.0","1564.0","1545.0","1606.0","1650.0","1679.0","1671.0","1662.0","1692.0","1717.0","1743.0","1733.0","1730.0","1743.0","1712.0","1791.0","1792.0","1848.0","1479.0","1545.0","1572.0","1550.0","1517.0","1465.0","1512.0","1559.0","1548.0","1512.0","1527.0","1553.0","1568.0","1580.0","1550.0","1612.0","1655.0","1681.0","1673.0","1655.0","1694.0","1713.0","1735.0","1728.0","1709.0","1730.0","1768.0","1780.0","1785.0","1855.0","1470.0","1547.0","1558.0","1531.0","1518.0","1514.0","1505.0","1547.0","1541.0","1509.0","1527.0","1550.0","1571.0","1566.0","1542.0","1614.0","1661.0","1683.0","1668.0","1658.0","1696.0","1715.0","1734.0","1719.0","1708.0","1732.0","1778.0","1779.0","1779.0","1763.0","1","0"
"1678904737.4370182","1477.0","1573.0","1575.0","1553.0","1501.0","1971.0","1531.0","1555.0","1549.0","1535.0","1534.0","1573.0","1578.0","1557.0","1564.0","1614.0","1680.0","1689.0","1666.0","1671.0","1701.0","1740.0","1747.0","1726.0","1726.0","1744.0","1790.0","1794.0","1801.0","1876.0","1480.0","1575.0","1562.0","1534.0","1520.0","1503.0","1517.0","1540.0","1532.0","1522.0","1514.0","1551.0","1563.0","1553.0","1557.0","1607.0","1666.0","1686.0","1668.0","1684.0","1706.0","1740.0","1754.0","1737.0","1743.0","1751.0","1794.0","1803.0","1806.0","1892.0","1465.0","1554.0","1554.0","1529.0","1508.0","1500.0","1493.0","1471.0","1521.0","1503.0","1510.0","1516.0","1547.0","1556.0","1552.0","1610.0","1649.0","1677.0","1666.0","1674.0","1704.0","1732.0","1748.0","1732.0","1740.0","1749.0","1783.0","1795.0","1799.0","1875.0","1474.0","1546.0","1561.0","1538.0","1522.0","1518.0","1497.0","1549.0","1553.0","1507.0","1517.0","1545.0","1565.0","1564.0","1545.0","1606.0","1650.0","1679.0","1671.0","1662.0","1692.0","1717.0","1743.0","1733.0","1730.0","1743.0","1712.0","1791.0","1792.0","1848.0","1479.0","1545.0","1572.0","1550.0","1517.0","1465.0","1512.0","1559.0","1548.0","1512.0","1527.0","1553.0","1568.0","1580.0","1550.0","1612.0","1655.0","1681.0","1673.0","1655.0","1694.0","1713.0","1735.0","1728.0","1709.0","1730.0","1768.0","1780.0","1785.0","1855.0","1470.0","1547.0","1558.0","1531.0","1518.0","1514.0","1505.0","1547.0","1541.0","1509.0","1527.0","1550.0","1571.0","1566.0","1542.0","1614.0","1661.0","1683.0","1668.0","1658.0","1696.0","1715.0","1734.0","1719.0","1708.0","1732.0","1778.0","1779.0","1779.0","1763.0","1","0"
